Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
27759,00000611,false,Rx,0,1,00,00,00,00,00,00,00,00,
27933,00000610,false,Rx,0,2,02,0F,00,00,00,00,00,00,
28265,00000611,false,Rx,0,1,00,00,00,00,00,00,00,00,
28443,00000610,false,Rx,0,2,02,0F,00,00,00,00,00,00,
28760,00000611,false,Rx,0,1,00,00,00,00,00,00,00,00,
28939,00000610,false,Rx,0,2,02,0F,00,00,00,00,00,00,
29264,00000611,false,Rx,0,1,00,00,00,00,00,00,00,00,
29444,00000610,false,Rx,0,2,02,0F,00,00,00,00,00,00,
29759,00000611,false,Rx,0,1,00,00,00,00,00,00,00,00,
29954,00000610,false,Rx,0,2,02,0F,00,00,00,00,00,00,
30262,00000611,false,Rx,0,1,00,00,00,00,00,00,00,00,
30193,00000610,false,Rx,0,2,02,0F,00,00,00,00,00,00,
30759,00000611,false,Rx,0,1,00,00,00,00,00,00,00,00,
30703,00000610,false,Rx,0,2,02,0F,00,00,00,00,00,00,
31263,00000611,false,Rx,0,1,00,00,00,00,00,00,00,00,
31203,00000610,false,Rx,0,2,02,0F,00,00,00,00,00,00,
31761,00000611,false,Rx,0,1,01,00,00,00,00,00,00,00,
31774,00000418,false,Rx,0,8,F4,02,4D,FE,8D,FF,0A,00,
31779,00000418,false,Rx,0,8,F9,02,53,FE,92,FF,0A,00,
31788,00000418,false,Rx,0,8,F9,02,5C,FE,91,FF,0C,00,
31796,00000418,false,Rx,0,8,F9,02,51,FE,92,FF,0D,00,
31801,00000418,false,Rx,0,8,F9,02,53,FE,92,FF,0B,00,
31806,00000418,false,Rx,0,8,FA,02,5C,FE,93,FF,09,00,
31819,00000418,false,Rx,0,8,00,03,53,FE,A5,FF,06,00,
31825,00000418,false,Rx,0,8,FA,02,57,FE,95,FF,06,00,
31829,00000418,false,Rx,0,8,FA,02,5B,FE,8E,FF,07,00,
31835,00000418,false,Rx,0,8,F8,02,52,FE,8D,FF,07,00,
31839,00000418,false,Rx,0,8,FA,02,54,FE,95,FF,07,00,
31849,00000418,false,Rx,0,8,FB,02,5C,FE,90,FF,06,00,
31854,00000418,false,Rx,0,8,F9,02,52,FE,94,FF,06,00,
31862,00000418,false,Rx,0,8,F9,02,53,FE,92,FF,06,00,
31867,00000418,false,Rx,0,8,FB,02,5B,FE,92,FF,05,00,
31621,00000418,false,Rx,0,8,FA,02,52,FE,93,FF,05,00,
31625,00000418,false,Rx,0,8,FA,02,58,FE,92,FF,06,00,
31635,00000418,false,Rx,0,8,F9,02,59,FE,94,FF,06,00,
31642,00000418,false,Rx,0,8,F9,02,55,FE,93,FF,06,00,
31651,00000418,false,Rx,0,8,FC,02,55,FE,89,FF,05,00,
31658,00000418,false,Rx,0,8,FA,02,59,FE,8F,FF,05,00,
31665,00000418,false,Rx,0,8,F8,02,52,FE,92,FF,05,00,
31672,00000418,false,Rx,0,8,FA,02,55,FE,94,FF,06,00,
31687,00000418,false,Rx,0,8,FA,02,5A,FE,91,FF,07,00,
31692,00000418,false,Rx,0,8,F9,02,54,FE,91,FF,07,00,
31692,00000418,false,Rx,0,8,FB,02,55,FE,95,FF,08,00,
31704,00000418,false,Rx,0,8,FA,02,55,FE,90,FF,07,00,
31709,00000418,false,Rx,0,8,F9,02,53,FE,8D,FF,05,00,
31710,00000610,false,Rx,0,2,02,0F,00,00,00,00,00,00,
31712,00000418,false,Rx,0,8,F9,02,57,FE,8F,FF,04,00,
31717,00000418,false,Rx,0,8,FA,02,57,FE,95,FF,07,00,
31723,00000418,false,Rx,0,8,F8,02,58,FE,8F,FF,0C,00,
31739,00000418,false,Rx,0,8,F9,02,55,FE,8B,FF,0F,00,
32007,00000418,false,Rx,0,8,FB,02,57,FE,95,FF,0D,00,
32008,00000418,false,Rx,0,8,F9,02,52,FE,98,FF,09,00,
32012,00000418,false,Rx,0,8,FE,02,4B,FE,95,FF,06,00,
32029,00000418,false,Rx,0,8,FB,02,4D,FE,97,FF,06,00,
32032,00000418,false,Rx,0,8,F8,02,4C,FE,9A,FF,07,00,
32033,00000418,false,Rx,0,8,F8,02,4D,FE,9B,FF,07,00,
32039,00000418,false,Rx,0,8,F6,02,4D,FE,A0,FF,06,00,
32048,00000418,false,Rx,0,8,F5,02,4E,FE,9E,FF,06,00,
32052,00000418,false,Rx,0,8,F6,02,4E,FE,A7,FF,06,00,
32060,00000418,false,Rx,0,8,F6,02,50,FE,A4,FF,07,00,
32068,00000418,false,Rx,0,8,F6,02,4F,FE,A5,FF,08,00,
32073,00000418,false,Rx,0,8,F4,02,4C,FE,9F,FF,08,00,
32080,00000418,false,Rx,0,8,F7,02,49,FE,A7,FF,08,00,
32085,00000418,false,Rx,0,8,F7,02,4B,FE,AB,FF,07,00,
32095,00000418,false,Rx,0,8,F6,02,49,FE,AD,FF,06,00,
32103,00000418,false,Rx,0,8,FA,02,47,FE,A7,FF,06,00,
32107,00000418,false,Rx,0,8,F6,02,49,FE,AC,FF,06,00,
32118,00000418,false,Rx,0,8,F9,02,45,FE,B1,FF,07,00,
31879,00000418,false,Rx,0,8,FC,02,4E,FE,A8,FF,07,00,
31884,00000418,false,Rx,0,8,F5,02,50,FE,B7,FF,06,00,
31884,00000418,false,Rx,0,8,F3,02,4B,FE,AC,FF,06,00,
31909,00000418,false,Rx,0,8,F4,02,4C,FE,AC,FF,07,00,
31909,00000418,false,Rx,0,8,F8,02,55,FE,C2,FF,08,00,
31909,00000418,false,Rx,0,8,EA,02,54,FE,BE,FF,08,00,
31914,00000418,false,Rx,0,8,CC,02,6B,FE,A2,FF,08,00,
31921,00000418,false,Rx,0,8,C4,02,70,FE,91,FF,08,00,
31929,00000418,false,Rx,0,8,C0,02,67,FE,96,FF,09,00,
31929,00000418,false,Rx,0,8,C3,02,69,FE,8D,FF,0B,00,
31934,00000418,false,Rx,0,8,DD,02,7E,FE,72,FF,0C,00,
31940,00000418,false,Rx,0,8,DB,02,71,FE,7A,FF,0C,00,
31949,00000418,false,Rx,0,8,E3,02,72,FE,68,FF,0D,00,
31956,00000418,false,Rx,0,8,F1,02,67,FE,6F,FF,0F,00,
31963,00000418,false,Rx,0,8,F1,02,6B,FE,44,FF,13,00,
31978,00000418,false,Rx,0,8,EF,02,71,FE,41,FF,16,00,
31981,00000418,false,Rx,0,8,F6,02,63,FE,5C,FF,15,00,
31986,00000418,false,Rx,0,8,0C,03,56,FE,84,FF,13,00,
31990,00000418,false,Rx,0,8,11,03,4D,FE,A7,FF,14,00,
31997,00000418,false,Rx,0,8,F8,02,46,FE,AB,FF,18,00,
32257,00000611,false,Rx,0,1,01,00,00,00,00,00,00,00,
32262,00000418,false,Rx,0,8,F3,02,4B,FE,AF,FF,1C,00,
32268,00000418,false,Rx,0,8,F5,02,48,FE,C9,FF,1C,00,
32273,00000418,false,Rx,0,8,D4,02,69,FE,A1,FF,1B,00,
32283,00000418,false,Rx,0,8,E1,02,6F,FE,73,FF,1C,00,
32288,00000418,false,Rx,0,8,E5,02,6C,FE,6A,FF,1E,00,
32297,00000418,false,Rx,0,8,E9,02,6D,FE,5A,FF,1F,00,
32308,00000418,false,Rx,0,8,01,03,53,FE,8A,FF,1E,00,
32313,00000418,false,Rx,0,8,F0,02,4B,FE,96,FF,1D,00,
32317,00000418,false,Rx,0,8,F2,02,54,FE,B6,FF,21,00,
32335,00000418,false,Rx,0,8,E2,02,5B,FE,BA,FF,29,00,
